,Price,Schoolname,Distance to school,School-grades,Trivsel,Boligtype,Energy-classification,Radon,Kommuneskat,Grundskyldspromillen,Kommune tekst,Liggetid,m2,Ejerudgift,Elevator,Rooms,Build,Toilets,Altan,Terasse,Postal code,link,Grund,Toilet
"Grønnegade 13,6870",765.000 kr.,Ølgod Skole,285 m,6.9,3.7,Villa,Energimærke E,Lav,"25,1%","31,56‰.","Der er 49.664 indbyggere i Varde Kommune. Kommuneskatten er på 25,1% og grundskyldspromillen på 31,56‰.",Til salg i alt: 25 dage,85 m²,Ejerudg.: 1.064 kr/md,,3 værelser,Opført 1960,1 toilet,,,6870,https://www.boligsiden.dk/addresses/0a3f50ba-2b7d-32b8-e044-0003ba298018,Grund: 963 m²,
"Merkurvej 1A, 1. tv.,7100",1.295.000 kr.,Petersmindeskolen,547 m,7.1,3.8,Ejerlejlighed,Energimærke C,Høj,"23,4%","27,75‰.","Der er 119.060 indbyggere i Vejle Kommune. Kommuneskatten er på 23,4% og grundskyldspromillen på 27,75‰.",Til salg i alt: 25 dage,79 m²,Ejerudg.: 2.032 kr/md,Elevator: Nej,2 værelser,Opført 1955,1 toilet,Altan: Nej,Terrasse: Nej,7100,https://www.boligsiden.dk/addresses/434d4d3b-1772-0401-e044-0003ba298018,,
"Sortedam Dossering 41A, 4. th.,2200",3.495.000 kr.,Øster Farimagsgades Skole,608 m,8,3.8,Ejerlejlighed,Energimærke D,Mellem,"23,7%",34‰.,"Der er 644.431 indbyggere i Københavns Kommune. Kommuneskatten er på 23,7% og grundskyldspromillen på 34‰.",Til salg i alt: 25 dage,50 m²,Ejerudg.: 3.945 kr/md,Elevator: Nej,2 værelser,Opført 1963,1 toilet,Altan: Nej,Terrasse: Nej,2200,https://www.boligsiden.dk/addresses/0a3f50a0-c2c0-32b8-e044-0003ba298018,,
"Næbbevej 6A,4534",1.795.000 kr.,Hørve Skole,926 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke D,Høj,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 25 dage,237 m²,Ejerudg.: 2.771 kr/md,,5 værelser,Opført 1800,1 toilet,,,4534,https://www.boligsiden.dk/addresses/40eb1f85-97d0-4581-e044-0003ba298018,Grund: 2898 m²,
"Kollelevbakken 35,2830",6.495.000 kr.,Virum Skole,287 m,9,3.9,Villa,Energimærke G,Lav,"24,38%","21,49‰.","Der er 57.826 indbyggere i Lyngby-Taarbæk Kommune. Kommuneskatten er på 24,38% og grundskyldspromillen på 21,49‰.",Til salg i alt: 25 dage,114 m²,Ejerudg.: 5.094 kr/md,,4 værelser,Opført 1954,2 toiletter,,,2830,https://www.boligsiden.dk/addresses/0a3f50a6-414c-32b8-e044-0003ba298018,Grund: 694 m²,
"Egeparken 5, 4. 1.,9000",1.995.000 kr.,Solbakkeskolen,937 m,6.1,3.6,Ejerlejlighed,Energimærke A2015,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 157 dage,75 m²,Ejerudg.: 2.228 kr/md,Elevator: Ja,2 værelser,Opført 2021,1 toilet,Altan: Ja,Terrasse: Nej,9000,https://www.boligsiden.dk/addresses/0fa06550-31af-42a7-86e5-e08c6fc879db,,
"Engvej 40,9300",3.498.000 kr.,Stensnæsskolen,"3,61 km",Ikke oplyst,Ikke oplyst,Landejendom,Energimærke D,Ukendt,"26,2%","29,9‰.","Der er 58.878 indbyggere i Frederikshavn Kommune. Kommuneskatten er på 26,2% og grundskyldspromillen på 29,9‰.",Til salg i alt: 25 dage,460 m²,Ejerudg.: 3.278 kr/md,,12 værelser,Opført 1877,-,,,9300,https://www.boligsiden.dk/addresses/c38ebdea-b6c6-4c0f-91ea-ba2042c2c892,Grund: 88041 m²,
"Falkevej 16,7620",995.000 kr.,Christinelystskolen,"1,06 km",7,3.8,Villa,Energimærke D,Mellem,"25,46%",28‰.,"Der er 19.398 indbyggere i Lemvig Kommune. Kommuneskatten er på 25,46% og grundskyldspromillen på 28‰.",Til salg i alt: 25 dage,118 m²,Ejerudg.: 1.348 kr/md,,5 værelser,Opført 1971,1 toilet,,,7620,https://www.boligsiden.dk/addresses/0a3f50be-6b0d-32b8-e044-0003ba298018,Grund: 881 m²,
"Vejlebrovej 48, 1. th.,2635",2.395.000 kr.,Vejlebroskolen,620 m,6.1,3.6,Ejerlejlighed,Energimærke D,Mellem,25%,25‰.,Der er 23.225 indbyggere i Ishøj Kommune. Kommuneskatten er på 25% og grundskyldspromillen på 25‰.,Til salg i alt: 25 dage,84 m²,Ejerudg.: 3.538 kr/md,Elevator: Nej,3 værelser,Opført 1970,1 toilet,Altan: Nej,Terrasse: Nej,2635,https://www.boligsiden.dk/addresses/0a3f50a7-1b47-32b8-e044-0003ba298018,,
"Præstevej 48,5210",1.795.000 kr.,Korup Skole,524 m,6.7,3.6,Villa,Energimærke D,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 190 dage,169 m²,Ejerudg.: 1.847 kr/md,,5 værelser,Opført 1954,1 toilet,,,5210,https://www.boligsiden.dk/addresses/0a3f50b4-88cb-32b8-e044-0003ba298018,Grund: 984 m²,
"Fredens Allé 6,5250",5.695.000 kr.,Tingløkkeskolen,445 m,7.7,3.9,Villa,Energimærke D,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 25 dage,177 m²,Ejerudg.: 3.163 kr/md,,6 værelser,Opført 1912,2 toiletter,,,5250,https://www.boligsiden.dk/addresses/0a3f50b3-dd68-32b8-e044-0003ba298018,Grund: 787 m²,
"Kastanjehaven 13,4681",3.495.000 kr.,Herfølge Skole,546 m,6.8,3.7,Rækkehus,Energimærke A2015,Mellem,"25,26%","21,04‰.","Der er 61.718 indbyggere i Køge Kommune. Kommuneskatten er på 25,26% og grundskyldspromillen på 21,04‰.",Til salg i alt: 25 dage,134 m²,Ejerudg.: 2.392 kr/md,,5 værelser,Opført 2019,2 toiletter,,,4681,https://www.boligsiden.dk/addresses/3cf11e8b-61ca-49f4-a72f-75da62154632,Grund: 266 m²,
"Nyvang 6,6400",2.795.000 kr.,Humlehøj-Skolen,947 m,6.7,3.8,Villa,Energimærke C,Høj,"25,7%","27,1‰.","Der er 73.711 indbyggere i Sønderborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 27,1‰.",Til salg i alt: 25 dage,73 m²,Ejerudg.: 1.863 kr/md,,5 værelser,Opført 1962,2 toiletter,,,6400,https://www.boligsiden.dk/addresses/0a3f50b7-ba15-32b8-e044-0003ba298018,Grund: 523 m²,
"Søbakken 3,4760",2.495.000 kr.,"Kulsbjerg Skole, Nyråd",835 m,Ikke oplyst,Ikke oplyst,Villa,Energimærke F,Høj,"25,7%","32,32‰.","Der er 45.352 indbyggere i Vordingborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 32,32‰.",Til salg i alt: 25 dage,159 m²,Ejerudg.: 2.032 kr/md,,4 værelser,Opført 1978,2 toiletter,,,4760,https://www.boligsiden.dk/addresses/0a3f50b1-cc21-32b8-e044-0003ba298018,Grund: 1007 m²,
"Fritsdalvej 12,5600",995.000 kr.,Øhavsskolen,217 m,6.6,3.7,Villa,Energimærke D,Høj,"26,1%","22,85‰.","Der er 51.849 indbyggere i Faaborg-Midtfyn Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 22,85‰.",Til salg i alt: 25 dage,105 m²,Ejerudg.: 1.359 kr/md,,4 værelser,Opført 1958,1 toilet,,,5600,https://www.boligsiden.dk/addresses/0a3f50b2-a07f-32b8-e044-0003ba298018,Grund: 702 m²,
"Lucernevej 26,5210",1.995.000 kr.,Tarup Skole,937 m,7.6,3.7,Villa,Energimærke F,Mellem,"25,5%","21,71‰.","Der er 205.978 indbyggere i Odense Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 21,71‰.",Til salg i alt: 25 dage,145 m²,Ejerudg.: 1.842 kr/md,,5 værelser,Opført 1965,2 toiletter,,,5210,https://www.boligsiden.dk/addresses/0a3f50b4-4917-32b8-e044-0003ba298018,Grund: 662 m²,
"Ribe Landevej 98,6100",1.095.000 kr.,Fællesskolen Hammelev-Sct. Severin,"1,81 km",6.7,3.8,Villa,Energimærke E,Høj,"26,3%","24,36‰.","Der er 55.340 indbyggere i Haderslev Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 24,36‰.",Til salg i alt: 25 dage,110 m²,Ejerudg.: 1.573 kr/md,,4 værelser,Opført 1965,1 toilet,,,6100,https://www.boligsiden.dk/addresses/0a3f50b6-d5eb-32b8-e044-0003ba298018,Grund: 1216 m²,
"Vig Hovedgade 24B,4560",1.235.000 kr.,Vig Skole,424 m,6.3,3.5,Villa,Energimærke D,Høj,"26,3%",34‰.,"Der er 32.881 indbyggere i Odsherred Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 34‰.",Til salg i alt: 25 dage,130 m²,Ejerudg.: 1.224 kr/md,,5 værelser,Opført 1910,2 toiletter,,,4560,https://www.boligsiden.dk/addresses/0a3f50af-58c8-32b8-e044-0003ba298018,Grund: 344 m²,
"Rødlersvej 5,2990",3.795.000 kr.,Nivå Skole,"1,57 km",7.4,3.8,Rækkehus,Energimærke C,Høj,"25,3%","24,65‰.","Der er 41.211 indbyggere i Fredensborg Kommune. Kommuneskatten er på 25,3% og grundskyldspromillen på 24,65‰.",Til salg i alt: 25 dage,122 m²,Ejerudg.: 3.660 kr/md,,5 værelser,Opført 1978,2 toiletter,,,2990,https://www.boligsiden.dk/addresses/0a3f50aa-6838-32b8-e044-0003ba298018,Grund: 190 m²,
"Toftholmvænget 7,2740",4.295.000 kr.,Skovlunde Skole – Rosenlund,392 m,7.2,3.7,Villa,Energimærke E,Mellem,"25,5%","28,89‰.","Der er 49.274 indbyggere i Ballerup Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 28,89‰.",Til salg i alt: 25 dage,127 m²,Ejerudg.: 4.322 kr/md,,4 værelser,Opført 1962,2 toiletter,,,2740,https://www.boligsiden.dk/addresses/0a3f50a3-33e1-32b8-e044-0003ba298018,Grund: 780 m²,
"Steenagerhuse 63,4100",1.650.000 kr.,Campusskolen,"10,68 km",6.9,3.6,Rækkehus,Energimærke B,Meget høj,"26,1%","24,74‰.","Der er 35.141 indbyggere i Ringsted Kommune. Kommuneskatten er på 26,1% og grundskyldspromillen på 24,74‰.",Til salg i alt: 25 dage,98 m²,Ejerudg.: 1.570 kr/md,,3 værelser,Opført 2009,1 toilet,,,4100,https://www.boligsiden.dk/addresses/0a3f50ae-53d9-32b8-e044-0003ba298018,Grund: 118 m²,
"Grenåvej 5,8200",5.998.000 kr.,Skovvangskolen,676 m,7,3.7,Villa,Energimærke E,Høj,"24,52%","24,58‰.","Der er 355.238 indbyggere i Aarhus Kommune. Kommuneskatten er på 24,52% og grundskyldspromillen på 24,58‰.",Til salg i alt: 25 dage,153 m²,Ejerudg.: 4.475 kr/md,,6 værelser,Opført 1937,1 toilet,,,8200,https://www.boligsiden.dk/addresses/0a3f50c2-f064-32b8-e044-0003ba298018,Grund: 860 m²,
"Rojumvej 109,6400",1.995.000 kr.,Sønderskov-Skolen,527 m,6.8,3.7,Villa,Energimærke D,Høj,"25,7%","27,1‰.","Der er 73.711 indbyggere i Sønderborg Kommune. Kommuneskatten er på 25,7% og grundskyldspromillen på 27,1‰.",Til salg i alt: 25 dage,111 m²,Ejerudg.: 1.892 kr/md,,3 værelser,Opført 1938,2 toiletter,,,6400,https://www.boligsiden.dk/addresses/0a3f50b7-c45a-32b8-e044-0003ba298018,Grund: 677 m²,
"Junker Ottos Vej 36,8800",1.995.000 kr.,Houlkærskolen,"1,13 km",7.2,3.9,Rækkehus,Energimærke A2020,Høj,"25,5%","23,7‰.","Der er 96.847 indbyggere i Viborg Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 23,7‰.",Til salg i alt: 25 dage,112 m²,Ejerudg.: 1.873 kr/md,,4 værelser,Opført 2024,-,,,8800,https://www.boligsiden.dk/addresses/4eb7c1f3-7c7d-4d4f-b974-4bedbcfcd9d8,Grund: 224 m²,
"Ane Dams Gade 20,9400",3.095.000 kr.,Skansevejens Skole,386 m,7,3.8,Villa,Energimærke C,Lav,"25,4%","26,95‰.","Der er 221.082 indbyggere i Aalborg Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 26,95‰.",Til salg i alt: 282 dage,136 m²,Ejerudg.: 2.678 kr/md,,4 værelser,Opført 1957,2 toiletter,,,9400,https://www.boligsiden.dk/addresses/0a3f50c9-b523-32b8-e044-0003ba298018,Grund: 490 m²,
"Vinkelvej 16B,3200",3.595.000 kr.,Nordstjerneskolen,752 m,6.8,3.6,Villa,Energimærke D,Lav,"25,4%","29,34‰.","Der er 41.147 indbyggere i Gribskov Kommune. Kommuneskatten er på 25,4% og grundskyldspromillen på 29,34‰.",Til salg i alt: 25 dage,167 m²,Ejerudg.: 3.064 kr/md,,6 værelser,Opført 1921,2 toiletter,,,3200,https://www.boligsiden.dk/addresses/0a3f50a9-1ada-32b8-e044-0003ba298018,Grund: 840 m²,
"Kobberupvej 20,7500",1.495.000 kr.,Mejrup Skole,557 m,8.3,3.9,Rækkehus,Energimærke C,Lav,"25,5%","24,12‰.","Der er 58.553 indbyggere i Holstebro Kommune. Kommuneskatten er på 25,5% og grundskyldspromillen på 24,12‰.",Til salg i alt: 25 dage,103 m²,Ejerudg.: 1.268 kr/md,,3 værelser,Opført 1987,1 toilet,,,7500,https://www.boligsiden.dk/addresses/0a3f50be-0995-32b8-e044-0003ba298018,Grund: 312 m²,
"Glorupvej 11,5874",995.000 kr.,4kløverskolen,"6,53 km",6.7,3.7,Villa,Energimærke E,Høj,"26,3%","27,83‰.","Der er 32.098 indbyggere i Nyborg Kommune. Kommuneskatten er på 26,3% og grundskyldspromillen på 27,83‰.",Til salg i alt: 25 dage,164 m²,Ejerudg.: 1.530 kr/md,,6 værelser,Opført 1912,1 toilet,,,5874,https://www.boligsiden.dk/addresses/0a3f50b6-189f-32b8-e044-0003ba298018,Grund: 2512 m²,
