Ydertype;Speciale;Ydernr;titelpost;System;Praksisbetegnelse;Adresse;Postnr;Post_navn;Amt;navn;Lokationsnr;Telefonnr_1
5;80;77518;;CGM XMO;Lægehuset Klokkerholm;Anemonevej 3;9320;Hjallerup;81;Region Nordjylland;5790002011184;98284088
5;80;77534;;EG Clinea;Lægerne Sløjfen;Fyrkildevej 7,1;9220;Aalborg Øst;81;Region Nordjylland;5790001998240;99331800
5;80;77542;;EG Clinea;Louise Hjelm;Smutten 6 a;9800;Hjørring;81;Region Nordjylland;5790000127412;96241600
5;80;77550;;EG Clinea;Merete Hansen;Idrætsvej 5 A,1,-1;7760;Hurup Thy;81;Region Nordjylland;5790002020711;38419070
5;80;77623;;CGM XMO;alles Lægehus Hurup;Idrætsvej 5,a,-1;7760;Hurup Thy;81;Region Nordjylland;5790002270055;79304090
5;80;77631;;CGM XMO;alles Lægehus Frøstrup;Søndergade 36 b;7741;Frøstrup;81;Region Nordjylland;5790002270024;79304065
5;80;77658;;CGM XMO;alles Lægehus Brovst;Sygehusvej 6,b;9460;Brovst;81;Region Nordjylland;5790002270048;79304080
5;80;77666;;CGM XMO;alles Lægehus Dronninglund;Nørregade 19;9330;Dronninglund;81;Region Nordjylland;5790002270031;79304060
5;80;77690;;EG Clinea;John Hyltoft;Ved Stranden 22,2 tv;9000;Aalborg;81;Region Nordjylland;5790002273100;98120655
5;80;77704;;CGM XMO;Østervrå Lægeklinik;Hjørringvej 444 B;9750;Østervrå;81;Region Nordjylland;5790002273728;98951105
5;80;77712;;EG Clinea;Dinah Høngaard;Smutten 6 a;9800;Hjørring;81;Region Nordjylland;5790002412561;96241600
5;80;77739;;CGM XMO;Lægerne Bendtzen og Sørensen;Adelgade 8,1;9500;Hobro;81;Region Nordjylland;5790002275616;98521172
5;80;77747;;EG Clinea;Knut Rønning;Idrætsvej 5 a;7760;Hurup Thy;81;Region Nordjylland;5790002275579;38419070
5;80;77755;;CGM XMO;Lægerne Asylgade / Vesna Djordjevic;Asylgade 19;9900;Frederikshavn;81;Region Nordjylland;5790002505669;98144040
5;80;77771;;CGM XMO;Klinik Søndergaard;Rådhus Alle 52;9900;Frederikshavn;81;Region Nordjylland;5790002505690;96218040
5;80;77798;;CGM XMO;Lægerne Asylgade / Charlotte Brun;Asylgade 19;9900;Frederikshavn;81;Region Nordjylland;5790002505676;98144040
5;80;77844;;EG Clinea;Lægerne Vestergade;Vestergade 6;9870;Sindal;81;Region Nordjylland;5790002286902;98463388
5;80;77852;;EG Clinea;Lægerne Ved Stranden;Ved Stranden 2;9560;Hadsund;81;Region Nordjylland;5790002288210;98572999
5;80;77860;;EG Clinea;Familielægerne Aalborg;Gasværksvej 24;9000;Aalborg;81;Region Nordjylland;5790002396571;32220110
5;80;77879;;EG Clinea;Marisol Emborg;Korsgade 9;9500;Hobro;81;Region Nordjylland;5790000139019;98522855
5;80;77887;;CGM XMO;alles Lægehus Aalborg;Vestre Havnepromenad 1 A,st tv;9000;Aalborg;81;Region Nordjylland;5790002395963;73709280
5;80;77895;;EG Clinea;Cathrine Johannessen;Tolstrupvej 91,st,-18;9700;Brønderslev;81;Region Nordjylland;5790002395864;96452729
5;80;77909;;EG Clinea;Ole Mogensen;Korsgade 9;9500;Hobro;81;Region Nordjylland;5790000139019;98524542
5;80;77933;;EG Clinea;Familielægerne Thy;Sydhavnsvej 15;7700;Thisted;81;Region Nordjylland;5790002399374;96199909
5;80;77968;;EG WinPLC;Lægeklinikken Frederikshavn;Vestergade 47,a;9900;Frederikshavn;81;Region Nordjylland;5790002406980;98435000
5;80;77984;;CGM XMO;Lægecenter Storvorde;Tofthøjvej 28 c;9280;Storvorde;81;Region Nordjylland;5790002410024;98318444
5;80;77992;;CGM XMO;Anette A. Vittrup;Tolstrupvej 91,st;9700;Brønderslev;81;Region Nordjylland;5790002414176;73708550
5;80;78018;;CGM XMO;Dit Lægehus Fjerritslev;Aggersundvej 3;9690;Fjerritslev;81;Region Nordjylland;5790002398513;73708910
5;80;78034;;EG Clinea;Jesper Kolbeck;Lindalsvej 11,st,-tv2;9560;Hadsund;81;Region Nordjylland;5790002401756;98572711
5;80;78042;;EG Clinea;Louise S. Grønhøj;Sct Cathrine Vej 17;9800;Hjørring;81;Region Nordjylland;5790002406300;98901844
5;80;78050;;CGM XMO;Lægerne i Dybvad;Markedsvej 12;9352;Dybvad;81;Region Nordjylland;5790002411571;98864311
5;80;78069;;CGM XMO;Lægerne Søparken;Søparken 2;9440;Aabybro;81;Region Nordjylland;5790002413506;70602310
5;80;78085;;EG Clinea;Lægeklinikken Vestergade Sæby;Vestergade 3 C th;9300;Sæby;81;Region Nordjylland;5790002507489;32223330
5;80;78093;;CGM XMO;Lægehuset Thyland;Vorupørvej 168;7700;Thisted;81;Region Nordjylland;5790002280061;97937333
5;80;78107;;EG Clinea;Helsehuset;Lille Borgergade 27,st tv;9400;Nørresundby;81;Region Nordjylland;5790002511172;98175811
5;80;78115;;CGM XMO;Lægerne Torvet;Torvet 6;9700;Brønderslev;81;Region Nordjylland;5790002513763;70602526
5;80;78123;;CGM XMO;Lægehuset Suldrup;Hjedsbækvej 337;9541;Suldrup;81;Region Nordjylland;5790002514012;98378305
5;80;78131;;CGM XMO;alles Lægehus Thisted;Thylandsvej 37 b;7700;Thisted;81;Region Nordjylland;5790002513961;73706750
5;80;78158;;EG Clinea;Lægerne i Hasseris;Nordvestvej 31,1;9000;Aalborg;81;Region Nordjylland;5790002514937;98120306
5;80;78166;;CGM XMO;alles Lægehus Øster Jølby;Doktor Lunds Vej 2 a;7950;Erslev;81;Region Nordjylland;5790002514470;97741050
5;80;78174;;CGM XMO;Lægehuset Lille Borgergade;Lille Borgergade 4;9400;Nørresundby;81;Region Nordjylland;5790000133826;98171766
5;80;78182;;EG Clinea;Lægecenter Syd;Sofiendalsvej 92 a;9200;Aalborg SV;81;Region Nordjylland;5790002514906;32224220
5;80;78190;;EG Clinea;Familielægerne Sydvest;Sofiendalsvej 93;9200;Aalborg SV;81;Region Nordjylland;5790002514968;32229550
5;80;78204;;EG Clinea;Øens Lægehus;Præstbrovej 238;7950;Erslev;81;Region Nordjylland;5790002515712;32225850
5;80;78212;;CGM XMO;alles Lægehus Frederikshavn;Barfredsvej 83;9900;Frederikshavn;81;Region Nordjylland;5790002516498;79304070
5;80;78220;;EG Clinea;Lægerne Aage Holms Vej;Aage Holms Vej 5;9800;Hjørring;81;Region Nordjylland;5790002517105;32221880
5;80;78239;;CGM XMO;Lægehuset Strandparken;Strandparken 48;7900;Nykøbing M;81;Region Nordjylland;5790002517181;97767111
5;80;78247;;EG Clinea;Farsø Lægehus;Bystrupparken 20;9640;Farsø;81;Region Nordjylland;5790002518775;98631822
5;80;78255;;EG Clinea;Lægehuset på Torvet;Tinghusgade 1;9400;Nørresundby;81;Region Nordjylland;5790002519833;32229401
5;80;78271;;CGM XMO;Familielægen Asylgade;Asylgade 19;9900;Frederikshavn;81;Region Nordjylland;5790002505683;98144040
5;80;78298;;EG Clinea;Lægeklinikken Rebild Syd;Dahlsensvej 8;9610;Nørager;81;Region Nordjylland;5790002522789;73707484
5;80;78301;;EG Clinea;Vadum Lægehus;Degnevænget 3;9430;Vadum;81;Region Nordjylland;5790002621529;32229430
5;80;78328;;CGM XMO;Lægerne ved Sauers Plads;Dag Hammarskjølds G. 4,2;9000;Aalborg;81;Region Nordjylland;5790000126866;98121999
5;80;78336;;CGM XMO;Lægerne Møllegade;Møllegade 8 a;9000;Aalborg;81;Region Nordjylland;5790002624933;98121100
5;80;78344;;CGM XMO;Lægeklinikken i Ålbæk;Møldamvej 1;9982;Ålbæk;81;Region Nordjylland;5790002624155;98489191
5;80;78352;;EG Clinea;Lægerne Ferjani og Rasmussen;Sydhavnsvej 15;7700;Thisted;81;Region Nordjylland;5790000155064;96199905
5;80;78360;;CGM XMO;Lægehuset i Nørager;Jernbanegade 3;9610;Nørager;81;Region Nordjylland;5790002634420;98551244
5;80;78379;;EG Clinea;Lægerne Vejlø og Vegger;Tolstrupvej 91, st, -13;9700;Brønderslev;81;Region Nordjylland;5790002021756;96452722
5;80;78387;;EG WinPLC;Lægerne Sverrigsgade;Sverrigsgade 2B;9870;Sindal;81;Region Nordjylland;5790002636332;98934737
5;80;78409;;EG Clinea;Lægerne Vinther og Jespersen;Sydhavnsvej 15;7700;Thisted;81;Region Nordjylland;5790000133369;96199903
5;80;78417;;CGM XMO;Lægerne Aabos Plads;Dag Hammarskjølds G. 4,1;9000;Aalborg;81;Region Nordjylland;5790002275982;98221012
5;80;78425;;CGM XMO;Claus Godsk Jørgensen;Bystrupparken 20;9640;Farsø;81;Region Nordjylland;5790002634048;35900040
5;80;78433;;CGM XMO;Lægerne Nybovej;Nybovej 4;9640;Farsø;81;Region Nordjylland;5790002634390;98631533
5;80;79693;;EG Clinea;Regionsklinik Skelund;Skelund Hovedgade 20;9560;Hadsund;81;Region Nordjylland;5790002634079;32224320
5;80;79707;;EG Clinea;Regionsklinik Brønderslev 2;Bredgade 13,1;9700;Brønderslev;81;Region Nordjylland;5790002523434;98800777
5;80;79715;;EG Clinea;Regionsklinik Pandrup 2;Bredgade 130;9490;Pandrup;81;Region Nordjylland;5790002523274;32223323
5;80;79782;;EG Clinea;Regionsklinik Hurup;Idrætsvej 5;7760;Hurup Thy;81;Region Nordjylland;5790002404580;97945004
5;80;79804;;EG Clinea;Regionsklinik Sindal;Torvegade 6;9870;Sindal;81;Region Nordjylland;5790002395796;32220780
5;80;79812;;EG Clinea;Regionsklinik Læsø;Kirkestien 2;9940;Læsø;81;Region Nordjylland;5790002284137;98491588
10;80;190004;;;Simon Østergaard Wehrs;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40587240
10;80;191973;;;Jens Morsing;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;30451166
10;80;192007;;;Mads Søndergaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22370549
10;80;192015;;;Søren Olsson;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;21654740
10;80;192058;;;Flemming Hansen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22182114
10;80;192082;;;Ulf Bromose;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;28964654
10;80;192104;;;Peter Bystrup;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;24489060
10;80;192139;;;Jörg Werner Andresen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;26556215
10;80;192147;;;Nitnoi Albertsen Winsløw;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;41112012
10;80;192163;;;Wiebke Otten;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;24813486
10;80;192171;;;Bolette Friderichsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;50991946
10;80;192198;;;Ulla Gregersen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;20763870
10;80;192228;;;Vivi Jørgensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;25393963
10;80;192236;;;Anders Faber;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;61279816
10;80;192244;;;Christa Ellefsen Blaasvær;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;20606268
10;80;192252;;;Morten Schliemann;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;20606269
10;80;192260;;;Rikke Dolmer;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;42208318
10;80;192279;;;Kenneth McCulloch;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;41436198
10;80;192317;;;Charlotte Brun;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22630251
10;80;192341;;;Jurgita Dikiniene;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40850605
10;80;192384;;;Anne Mette Lynge Andersen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40476050
10;80;192422;;;Claus Godsk Jørgensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;50926171
10;80;192430;;;Erik Johansen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;51285021
10;80;192481;;;Lars Otte;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;30891710
10;80;192503;;;Rune Gilberg;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40877913
10;80;192511;;;Anne Esbjørn Andersen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;61313335
10;80;192546;;;Anne Marie Lundgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;30420346
10;80;192600;;;Annizette Snæbom Malmberg Nejland;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40481066
10;80;192619;;;Charlotte Lønskov Jensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;50591724
10;80;192627;;;Anne Borgbjerg Møller;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;20722828
10;80;192635;;;Mette Dahl;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22289092
10;80;192643;;;Michael Jessen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;23694361
10;80;192732;;;Jerzy Waclaw Grycel;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60836636
10;80;192759;;;Kamilla Kaasgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40549345
10;80;192775;;;Chris Bull Olsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;22406583
10;80;192791;;;Kirstine Elisabeth Agger;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;30293191
10;80;192813;;;Helle Nygaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;25582474
10;80;192821;;;Tine Gerhard Stegger;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40811266
10;80;192856;;;Leif Hoffmann;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;24821273
10;80;192864;;;Andrzej Piotr Woroniecki;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;23274095
10;80;192880;;;Birgitte Bonne Rasmussen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;28707705
10;80;192902;;;Krzysztof Zbroja;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60288605
10;80;192929;;;Lars Aagaard Sørensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;61338333
10;80;192937;;;Janni Kristensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;50502484
10;80;192945;;;Søren Kæseler Andersen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60640154
10;80;192953;;;Helene Louise Juhl-Olsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;28519248
10;80;192961;;;Thomas H. Gregersen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;42151544
10;80;192988;;;Jakob Klitkou;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;31101217
10;80;192996;;;Karin Donskov;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40682331
10;80;193003;;;Mette Fredberg Greth;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;24652198
10;80;193011;;;Mikkel Leon Nordkap;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;61673322
10;80;193038;;;Anders Vase;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40339656
10;80;193046;;;Monika Kudasik-Skrzynska;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;51980908
10;80;193070;;;Vesna Djordjevic;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;40186812
10;80;193097;;;Mikkel Thusgaard;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;51725724
10;80;193119;;;Joachim Nørmark;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;29723185
10;80;193127;;;Anne Marie Vase;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;30299656
10;80;193151;;;Kield Fuglsang;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;23271257
10;80;193178;;;Anders Lundgaard Jensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;60192982
10;80;193216;;;Marisol Stuart Emborg;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;28114320
10;80;193232;;;Dorthe Ejsing Sørensen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;29447615
10;80;193240;;;Jens Balle;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;29603092
10;80;193259;;;Morten Krause Nielsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;98902125
10;80;193267;;;Lene Pejs Thomsen;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;51370469
10;80;193356;;;Anne Husum Eld;Hemmelig 1;0;Hemmelig;81;Region Nordjylland;;29918589
